Exp,Cell,TimeMin,Signal,Smoothed,Pred,State,Threshold
enhUP_raw,1,17.333333333333332,0.4905,0.37673052455185624,0.5808227848101267,1.0,0.23
enhUP_raw,1,17.666666666666668,0.4035,0.4166372066078301,0.8137341772151899,1.0,0.23
enhUP_raw,1,18.0,1.091,0.7769484495372603,1.0466455696202532,1.0,0.23
enhUP_raw,1,18.333333333333332,0.5385,0.8876060365628325,1.2795569620253164,0.0,0.23
enhUP_raw,1,18.666666666666668,0.0735,0.27294782012902996,1.0466455696202532,0.0,0.23
enhUP_raw,1,19.0,0.047,0.020882817138146857,0.8137341772151899,0.0,0.23
enhUP_raw,1,19.333333333333332,0.197,0.07791816303635904,0.5808227848101267,1.0,0.23
enhUP_raw,1,19.666666666666668,0.865,0.5428416395812398,0.8137341772151899,1.0,0.23
enhUP_raw,1,20.0,0.8205,0.8127510621133008,1.0466455696202532,1.0,0.23
enhUP_raw,1,20.333333333333332,1.9655,1.407374147937601,1.2795569620253164,1.0,0.23
enhUP_raw,1,20.666666666666668,1.694,1.8628529111984518,1.5124683544303796,1.0,0.23
enhUP_raw,1,21.0,2.312,1.9534176603426283,1.7453797468354428,1.0,0.23
enhUP_raw,1,21.333333333333332,2.837,2.6678347575187393,1.978291139240506,1.0,0.23
enhUP_raw,1,21.666666666666668,1.9725,2.3888480639154195,2.2112025316455695,0.0,0.23
enhUP_raw,1,22.0,2.7575,2.3589545599959245,1.978291139240506,1.0,0.23
enhUP_raw,1,22.333333333333332,1.995,2.45785084115634,2.2112025316455695,0.0,0.23
enhUP_raw,1,22.666666666666668,1.4845,1.6943796638443993,1.978291139240506,0.0,0.23
enhUP_raw,1,23.0,1.443,1.4174696291310556,1.7453797468354428,0.0,0.23
enhUP_raw,1,23.333333333333332,1.6575,1.5255583926086418,1.5124683544303796,1.0,0.23
enhUP_raw,1,23.666666666666668,2.006,1.8728283360471611,1.7453797468354428,1.0,0.23
enhUP_raw,1,24.0,1.571,1.8138903395455228,1.978291139240506,0.0,0.23
enhUP_raw,1,24.333333333333332,1.513,1.4499539370612844,1.7453797468354428,1.0,0.23
enhUP_raw,1,24.666666666666668,2.534,2.002183794725787,1.978291139240506,1.0,0.23
enhUP_raw,1,25.0,2.8165,2.8021244653938266,2.2112025316455695,1.0,0.23
enhUP_raw,1,25.333333333333332,1.8295,2.328501208732257,2.4441139240506327,0.0,0.23
enhUP_raw,1,25.666666666666668,2.037,1.9285833232998886,2.2112025316455695,0.0,0.23
enhUP_raw,1,26.0,1.117,1.5028360379383618,1.978291139240506,0.0,0.23
enhUP_raw,1,26.333333333333332,2.4995,1.8352170546247126,1.7453797468354428,1.0,0.23
enhUP_raw,1,26.666666666666668,1.158,1.9529320948165856,1.978291139240506,0.0,0.23
enhUP_raw,1,27.0,0.5645,0.7102076020107623,1.7453797468354428,0.0,0.23
enhUP_raw,1,27.333333333333332,1.6215,1.0695096576897352,1.5124683544303796,1.0,0.23
enhUP_raw,1,27.666666666666668,1.393,1.5924033988241701,1.7453797468354428,1.0,0.23
enhUP_raw,1,28.0,1.0985,1.219198862167823,1.978291139240506,0.0,0.23
enhUP_raw,1,28.333333333333332,1.299,1.2066810584388241,1.7453797468354428,0.0,0.23
enhUP_raw,1,28.666666666666668,0.879,1.115018046652296,1.5124683544303796,0.0,0.23
enhUP_raw,1,29.0,0.6635,0.7167801603456859,1.2795569620253164,0.0,0.23
enhUP_raw,1,29.333333333333332,1.1065,0.8754530067586157,1.0466455696202532,1.0,0.23
enhUP_raw,1,29.666666666666668,1.0435,1.1450973783556784,1.2795569620253164,0.0,0.23
enhUP_raw,1,30.0,0.3765,0.7043794757575248,1.0466455696202532,0.0,0.23
enhUP_raw,1,30.333333333333332,0.4035,0.3311770119190623,0.8137341772151899,0.0,0.23
enhUP_raw,1,30.666666666666668,0.6655,0.5270431595104964,0.5808227848101267,1.0,0.23
enhUP_raw,1,31.0,0.7985,0.6689273762359264,0.8137341772151899,1.0,0.23
enhUP_raw,1,31.333333333333332,2.0605,1.4625686968220588,1.0466455696202532,1.0,0.23
enhUP_raw,1,31.666666666666668,1.669,1.9121298173035208,1.2795569620253164,1.0,0.23
enhUP_raw,1,32.0,2.1835,1.911800038521296,1.5124683544303796,1.0,0.23
enhUP_raw,1,32.333333333333336,2.033,2.188445933608672,1.7453797468354428,0.0,0.23
enhUP_raw,1,32.666666666666664,1.2735,1.6096662553152996,1.5124683544303796,0.0,0.23
enhUP_raw,1,33.0,1.821,1.556435942737954,1.2795569620253164,0.0,0.23
enhUP_raw,1,33.333333333333336,0.915,1.3991528065567693,1.0466455696202532,0.0,0.23
enhUP_raw,1,33.666666666666664,0.9645,0.8757769902803998,0.8137341772151899,0.0,0.23
enhUP_raw,1,34.0,1.072,1.0047398640257519,0.5808227848101267,1.0,0.23
enhUP_raw,1,34.333333333333336,1.3205,1.1106063295929867,0.8137341772151899,1.0,0.23
